model,hub,season,expected_corrective_qty
Multistage (tree),0,1,3.0
Multistage (tree),0,2,1.75
Multistage (tree),0,3,1.625
Multistage (tree),0,4,1.9375
Multistage (tree),1,1,7.0
Multistage (tree),1,2,4.5
Multistage (tree),1,3,2.75
Multistage (tree),1,4,3.0625
Multistage (tree),2,1,2.0
Multistage (tree),2,2,2.75
Multistage (tree),2,3,2.375
Multistage (tree),2,4,2.5
Static,0,1,0.0
Static,0,2,0.0
Static,0,3,0.0
Static,0,4,0.0
Static,1,1,0.0
Static,1,2,0.0
Static,1,3,0.0
Static,1,4,0.0
Static,2,1,0.0
Static,2,2,0.0
Static,2,3,0.0
Static,2,4,0.0
MNP,0,1,6.0
MNP,0,2,17.0
MNP,0,3,15.875
MNP,0,4,11.375
MNP,1,1,10.0
MNP,1,2,28.5
MNP,1,3,36.875
MNP,1,4,53.3125
MNP,2,1,3.5
MNP,2,2,6.75
MNP,2,3,18.875
MNP,2,4,24.125
MRP,0,1,2.0625
MRP,0,2,4.3125
MRP,0,3,4.8125
MRP,0,4,8.1875
MRP,1,1,9.125
MRP,1,2,9.4375
MRP,1,3,14.625
MRP,1,4,27.6875
MRP,2,1,3.8125
MRP,2,2,4.25
MRP,2,3,9.1875
MRP,2,4,10.875
