model,hub,season,scenario,corrective_qty
Multistage (tree),0,1,0,0.0
Multistage (tree),0,1,1,0.0
Multistage (tree),0,1,2,0.0
Multistage (tree),0,1,3,0.0
Multistage (tree),0,1,4,0.0
Multistage (tree),0,1,5,0.0
Multistage (tree),0,1,6,0.0
Multistage (tree),0,1,7,0.0
Multistage (tree),0,1,8,0.0
Multistage (tree),0,1,9,0.0
Multistage (tree),0,1,10,0.0
Multistage (tree),0,1,11,0.0
Multistage (tree),0,1,12,0.0
Multistage (tree),0,1,13,0.0
Multistage (tree),0,1,14,0.0
Multistage (tree),0,1,15,0.0
Multistage (tree),0,2,0,2.0
Multistage (tree),0,2,1,2.0
Multistage (tree),0,2,2,2.0
Multistage (tree),0,2,3,2.0
Multistage (tree),0,2,4,2.0
Multistage (tree),0,2,5,2.0
Multistage (tree),0,2,6,2.0
Multistage (tree),0,2,7,2.0
Multistage (tree),0,2,8,0.0
Multistage (tree),0,2,9,0.0
Multistage (tree),0,2,10,0.0
Multistage (tree),0,2,11,0.0
Multistage (tree),0,2,12,2.0
Multistage (tree),0,2,13,2.0
Multistage (tree),0,2,14,2.0
Multistage (tree),0,2,15,2.0
Multistage (tree),0,3,0,1.0
Multistage (tree),0,3,1,1.0
Multistage (tree),0,3,2,2.0
Multistage (tree),0,3,3,2.0
Multistage (tree),0,3,4,2.0
Multistage (tree),0,3,5,2.0
Multistage (tree),0,3,6,4.0
Multistage (tree),0,3,7,4.0
Multistage (tree),0,3,8,2.0
Multistage (tree),0,3,9,2.0
Multistage (tree),0,3,10,1.0
Multistage (tree),0,3,11,1.0
Multistage (tree),0,3,12,4.0
Multistage (tree),0,3,13,4.0
Multistage (tree),0,3,14,1.0
Multistage (tree),0,3,15,1.0
Multistage (tree),0,4,0,4.0
Multistage (tree),0,4,1,0.0
Multistage (tree),0,4,2,2.0
Multistage (tree),0,4,3,3.0
Multistage (tree),0,4,4,6.0
Multistage (tree),0,4,5,3.0
Multistage (tree),0,4,6,4.0
Multistage (tree),0,4,7,5.0
Multistage (tree),0,4,8,2.0
Multistage (tree),0,4,9,1.0
Multistage (tree),0,4,10,0.0
Multistage (tree),0,4,11,0.0
Multistage (tree),0,4,12,3.0
Multistage (tree),0,4,13,0.0
Multistage (tree),0,4,14,3.0
Multistage (tree),0,4,15,4.0
Multistage (tree),1,1,0,0.0
Multistage (tree),1,1,1,0.0
Multistage (tree),1,1,2,0.0
Multistage (tree),1,1,3,0.0
Multistage (tree),1,1,4,0.0
Multistage (tree),1,1,5,0.0
Multistage (tree),1,1,6,0.0
Multistage (tree),1,1,7,0.0
Multistage (tree),1,1,8,2.0
Multistage (tree),1,1,9,2.0
Multistage (tree),1,1,10,2.0
Multistage (tree),1,1,11,2.0
Multistage (tree),1,1,12,2.0
Multistage (tree),1,1,13,2.0
Multistage (tree),1,1,14,2.0
Multistage (tree),1,1,15,2.0
Multistage (tree),1,2,0,2.0
Multistage (tree),1,2,1,2.0
Multistage (tree),1,2,2,2.0
Multistage (tree),1,2,3,2.0
Multistage (tree),1,2,4,1.0
Multistage (tree),1,2,5,1.0
Multistage (tree),1,2,6,1.0
Multistage (tree),1,2,7,1.0
Multistage (tree),1,2,8,1.0
Multistage (tree),1,2,9,1.0
Multistage (tree),1,2,10,1.0
