hub_from,hub_to,type,alpha_eur
0,0,0,0.0
0,0,1,0.0
0,0,2,0.0
0,1,0,40.0
0,1,1,47.59455615572939
0,1,2,55.75362292528301
0,2,0,40.0
0,2,1,46.762478139945785
0,2,2,54.778902963936495
1,0,0,40.0
1,0,1,47.59455615572939
1,0,2,55.75362292528301
1,1,0,0.0
1,1,1,0.0
1,1,2,0.0
1,2,0,1.6208182244852294
1,2,1,1.1345727571396604
1,2,2,1.3290709440778883
2,0,0,40.0
2,0,1,46.762478139945785
2,0,2,54.778902963936495
2,1,0,1.6208182244852294
2,1,1,1.1345727571396604
2,1,2,1.3290709440778883
2,2,0,0.0
2,2,1,0.0
2,2,2,0.0
