scenario,probability,hub,week,demand
0,0.0625,0,0,19431
0,0.0625,0,1,19411
0,0.0625,0,2,19568
0,0.0625,0,3,17429
0,0.0625,0,4,18051
0,0.0625,0,5,18236
0,0.0625,0,6,18049
0,0.0625,0,7,18277
0,0.0625,0,8,17285
0,0.0625,0,9,19438
0,0.0625,0,10,17690
0,0.0625,0,11,17268
0,0.0625,0,12,16162
0,0.0625,0,13,16730
0,0.0625,0,14,16169
0,0.0625,0,15,17187
0,0.0625,0,16,15381
0,0.0625,0,17,16541
0,0.0625,0,18,16612
0,0.0625,0,19,17184
0,0.0625,0,20,15546
0,0.0625,0,21,16445
0,0.0625,0,22,17016
0,0.0625,0,23,15647
0,0.0625,0,24,16001
0,0.0625,0,25,17441
0,0.0625,0,26,12286
0,0.0625,0,27,13970
0,0.0625,0,28,13335
0,0.0625,0,29,13332
0,0.0625,0,30,13781
0,0.0625,0,31,12238
0,0.0625,0,32,13528
0,0.0625,0,33,13725
0,0.0625,0,34,13519
0,0.0625,0,35,13141
0,0.0625,0,36,13558
0,0.0625,0,37,12489
0,0.0625,0,38,13755
0,0.0625,0,39,8540
0,0.0625,0,40,8227
0,0.0625,0,41,8522
0,0.0625,0,42,8950
0,0.0625,0,43,8389
0,0.0625,0,44,8667
0,0.0625,0,45,8964
0,0.0625,0,46,8979
0,0.0625,0,47,8162
0,0.0625,0,48,8460
0,0.0625,0,49,8366
0,0.0625,0,50,8875
0,0.0625,0,51,8423
0,0.0625,1,0,35855
0,0.0625,1,1,34280
0,0.0625,1,2,35256
0,0.0625,1,3,37733
0,0.0625,1,4,35821
0,0.0625,1,5,36547
0,0.0625,1,6,37746
0,0.0625,1,7,36052
0,0.0625,1,8,37285
0,0.0625,1,9,34669
0,0.0625,1,10,39572
0,0.0625,1,11,37920
0,0.0625,1,12,40438
0,0.0625,1,13,36925
0,0.0625,1,14,40235
0,0.0625,1,15,36781
0,0.0625,1,16,40951
0,0.0625,1,17,36448
0,0.0625,1,18,36900
0,0.0625,1,19,35985
0,0.0625,1,20,41370
0,0.0625,1,21,37820
0,0.0625,1,22,37321
0,0.0625,1,23,38344
0,0.0625,1,24,38503
0,0.0625,1,25,36090
0,0.0625,1,26,43798
0,0.0625,1,27,40612
0,0.0625,1,28,42563
0,0.0625,1,29,43695
0,0.0625,1,30,41122
0,0.0625,1,31,44466
0,0.0625,1,32,43154
0,0.0625,1,33,42521
0,0.0625,1,34,45483
0,0.0625,1,35,40111
0,0.0625,1,36,43482
0,0.0625,1,37,46896
0,0.0625,1,38,41160
0,0.0625,1,39,51193
0,0.0625,1,40,55481
0,0.0625,1,41,52706
0,0.0625,1,42,49381
0,0.0625,1,43,50443
0,0.0625,1,44,51360
0,0.0625,1,45,50746
0,0.0625,1,46,51300
0,0.0625,1,47,55106
0,0.0625,1,48,51545
0,0.0625,1,49,53670
0,0.0625,1,50,51132
0,0.0625,1,51,50483
0,0.0625,2,0,17440
0,0.0625,2,1,15705
0,0.0625,2,2,17771
0,0.0625,2,3,16515
0,0.0625,2,4,16303
0,0.0625,2,5,18092
0,0.0625,2,6,17233
0,0.0625,2,7,17198
0,0.0625,2,8,19624
0,0.0625,2,9,18326
0,0.0625,2,10,17263
0,0.0625,2,11,19186
0,0.0625,2,12,17086
0,0.0625,2,13,19054
0,0.0625,2,14,18601
0,0.0625,2,15,19464
0,0.0625,2,16,16974
0,0.0625,2,17,17394
0,0.0625,2,18,19030
0,0.0625,2,19,18951
0,0.0625,2,20,18062
0,0.0625,2,21,19533
0,0.0625,2,22,20247
0,0.0625,2,23,18625
0,0.0625,2,24,18883
0,0.0625,2,25,20188
0,0.0625,2,26,15007
0,0.0625,2,27,13550
0,0.0625,2,28,13896
0,0.0625,2,29,13866
0,0.0625,2,30,15750
0,0.0625,2,31,14396
0,0.0625,2,32,13718
0,0.0625,2,33,14657
0,0.0625,2,34,16725
0,0.0625,2,35,14408
0,0.0625,2,36,14634
0,0.0625,2,37,13587
0,0.0625,2,38,14646
0,0.0625,2,39,10173
0,0.0625,2,40,10412
0,0.0625,2,41,9906
0,0.0625,2,42,10437
0,0.0625,2,43,10132
0,0.0625,2,44,10355
0,0.0625,2,45,10407
0,0.0625,2,46,9900
0,0.0625,2,47,10266
0,0.0625,2,48,10618
0,0.0625,2,49,10785
0,0.0625,2,50,10674
0,0.0625,2,51,9273
1,0.0625,0,0,19431
1,0.0625,0,1,19411
1,0.0625,0,2,19568
1,0.0625,0,3,17429
1,0.0625,0,4,18051
1,0.0625,0,5,18236
1,0.0625,0,6,18049
1,0.0625,0,7,18277
1,0.0625,0,8,17285
1,0.0625,0,9,19438
1,0.0625,0,10,17690
1,0.0625,0,11,17268
1,0.0625,0,12,16162
1,0.0625,0,13,16730
1,0.0625,0,14,16169
