model,hub,season,expected_outbound_qty
Multistage (tree),0,1,8.5
Multistage (tree),0,2,4.75
Multistage (tree),0,3,4.625
Multistage (tree),0,4,4.5
Multistage (tree),1,1,11.0
Multistage (tree),1,2,7.75
Multistage (tree),1,3,5.125
Multistage (tree),1,4,4.875
Multistage (tree),2,1,3.0
Multistage (tree),2,2,3.75
Multistage (tree),2,3,2.875
Multistage (tree),2,4,3.1875
Static,0,1,0.0
Static,0,2,0.0
Static,0,3,0.0
Static,0,4,0.0
Static,1,1,0.0
Static,1,2,0.0
Static,1,3,0.0
Static,1,4,0.0
Static,2,1,0.0
Static,2,2,0.0
Static,2,3,0.0
Static,2,4,0.0
MNP,0,1,0.0
MNP,0,2,0.0
MNP,0,3,0.0
MNP,0,4,0.0
MNP,1,1,0.0
MNP,1,2,0.0
MNP,1,3,0.0
MNP,1,4,0.0
MNP,2,1,0.0
MNP,2,2,0.0
MNP,2,3,0.0
MNP,2,4,0.0
MRP,0,1,5.0
MRP,0,2,4.25
MRP,0,3,3.5625
MRP,0,4,4.125
MRP,1,1,9.0
MRP,1,2,5.9375
MRP,1,3,8.0625
MRP,1,4,5.0
MRP,2,1,3.0
MRP,2,2,4.6875
MRP,2,3,5.25
MRP,2,4,4.1875
