model,hub,season,scenario,outbound_qty
Multistage (tree),0,1,0,20.0
Multistage (tree),0,1,1,20.0
Multistage (tree),0,1,2,20.0
Multistage (tree),0,1,3,20.0
Multistage (tree),0,1,4,20.0
Multistage (tree),0,1,5,20.0
Multistage (tree),0,1,6,20.0
Multistage (tree),0,1,7,20.0
Multistage (tree),0,1,8,13.0
Multistage (tree),0,1,9,13.0
Multistage (tree),0,1,10,13.0
Multistage (tree),0,1,11,13.0
Multistage (tree),0,1,12,13.0
Multistage (tree),0,1,13,13.0
Multistage (tree),0,1,14,13.0
Multistage (tree),0,1,15,13.0
Multistage (tree),0,2,0,8.0
Multistage (tree),0,2,1,8.0
Multistage (tree),0,2,2,8.0
Multistage (tree),0,2,3,8.0
Multistage (tree),0,2,4,11.0
Multistage (tree),0,2,5,11.0
Multistage (tree),0,2,6,11.0
Multistage (tree),0,2,7,11.0
Multistage (tree),0,2,8,21.0
Multistage (tree),0,2,9,21.0
Multistage (tree),0,2,10,21.0
Multistage (tree),0,2,11,21.0
Multistage (tree),0,2,12,21.0
Multistage (tree),0,2,13,21.0
Multistage (tree),0,2,14,21.0
Multistage (tree),0,2,15,21.0
Multistage (tree),0,3,0,2.0
Multistage (tree),0,3,1,2.0
Multistage (tree),0,3,2,2.0
Multistage (tree),0,3,3,2.0
Multistage (tree),0,3,4,14.0
Multistage (tree),0,3,5,14.0
Multistage (tree),0,3,6,16.0
Multistage (tree),0,3,7,16.0
Multistage (tree),0,3,8,12.0
Multistage (tree),0,3,9,12.0
Multistage (tree),0,3,10,13.0
Multistage (tree),0,3,11,13.0
Multistage (tree),0,3,12,6.0
Multistage (tree),0,3,13,6.0
Multistage (tree),0,3,14,9.0
Multistage (tree),0,3,15,9.0
Multistage (tree),0,4,0,0.0
Multistage (tree),0,4,1,0.0
Multistage (tree),0,4,2,3.0
Multistage (tree),0,4,3,0.0
Multistage (tree),0,4,4,6.0
Multistage (tree),0,4,5,5.0
Multistage (tree),0,4,6,0.0
Multistage (tree),0,4,7,1.0
Multistage (tree),0,4,8,6.0
Multistage (tree),0,4,9,8.0
Multistage (tree),0,4,10,14.0
Multistage (tree),0,4,11,12.0
Multistage (tree),0,4,12,3.0
Multistage (tree),0,4,13,10.0
Multistage (tree),0,4,14,26.0
Multistage (tree),0,4,15,15.0
Multistage (tree),1,1,0,104.0
Multistage (tree),1,1,1,104.0
Multistage (tree),1,1,2,104.0
Multistage (tree),1,1,3,104.0
Multistage (tree),1,1,4,104.0
Multistage (tree),1,1,5,104.0
Multistage (tree),1,1,6,104.0
Multistage (tree),1,1,7,104.0
Multistage (tree),1,1,8,136.0
Multistage (tree),1,1,9,136.0
Multistage (tree),1,1,10,136.0
Multistage (tree),1,1,11,136.0
Multistage (tree),1,1,12,136.0
Multistage (tree),1,1,13,136.0
Multistage (tree),1,1,14,136.0
Multistage (tree),1,1,15,136.0
Multistage (tree),1,2,0,153.0
Multistage (tree),1,2,1,153.0
Multistage (tree),1,2,2,153.0
Multistage (tree),1,2,3,153.0
Multistage (tree),1,2,4,36.0
Multistage (tree),1,2,5,36.0
Multistage (tree),1,2,6,36.0
Multistage (tree),1,2,7,36.0
Multistage (tree),1,2,8,107.0
Multistage (tree),1,2,9,107.0
Multistage (tree),1,2,10,107.0
Multistage (tree),1,2,11,107.0
Multistage (tree),1,2,12,139.0
Multistage (tree),1,2,13,139.0
Multistage (tree),1,2,14,139.0
Multistage (tree),1,2,15,139.0
Multistage (tree),1,3,0,87.0
Multistage (tree),1,3,1,87.0
Multistage (tree),1,3,2,42.0
Multistage (tree),1,3,3,42.0
Multistage (tree),1,3,4,51.0
Multistage (tree),1,3,5,51.0
Multistage (tree),1,3,6,137.0
Multistage (tree),1,3,7,137.0
Multistage (tree),1,3,8,155.0
Multistage (tree),1,3,9,155.0
Multistage (tree),1,3,10,91.0
Multistage (tree),1,3,11,91.0
Multistage (tree),1,3,12,107.0
Multistage (tree),1,3,13,107.0
Multistage (tree),1,3,14,134.0
Multistage (tree),1,3,15,134.0
Multistage (tree),1,4,0,22.0
