model,scenario,rebalancing_qty,redeployment_qty,total_movement_qty
Multistage (tree),0,0.0,0.0,0.0
Multistage (tree),1,0.0,0.0,0.0
Multistage (tree),2,0.0,0.0,0.0
Multistage (tree),3,0.0,0.0,0.0
Multistage (tree),4,0.0,0.0,0.0
Multistage (tree),5,0.0,0.0,0.0
Multistage (tree),6,0.0,0.0,0.0
Multistage (tree),7,0.0,0.0,0.0
Multistage (tree),8,0.0,0.0,0.0
Multistage (tree),9,0.0,0.0,0.0
Multistage (tree),10,0.0,0.0,0.0
Multistage (tree),11,0.0,0.0,0.0
Multistage (tree),12,0.0,0.0,0.0
Multistage (tree),13,0.0,0.0,0.0
Multistage (tree),14,0.0,0.0,0.0
Multistage (tree),15,0.0,0.0,0.0
Static,0,0.0,0.0,0.0
Static,1,0.0,0.0,0.0
Static,2,0.0,0.0,0.0
Static,3,0.0,0.0,0.0
Static,4,0.0,0.0,0.0
Static,5,0.0,0.0,0.0
Static,6,0.0,0.0,0.0
Static,7,0.0,0.0,0.0
Static,8,0.0,0.0,0.0
Static,9,0.0,0.0,0.0
Static,10,0.0,0.0,0.0
Static,11,0.0,0.0,0.0
Static,12,0.0,0.0,0.0
Static,13,0.0,0.0,0.0
Static,14,0.0,0.0,0.0
Static,15,0.0,0.0,0.0
MNP,0,0.0,0.0,0.0
MNP,1,0.0,0.0,0.0
MNP,2,0.0,0.0,0.0
MNP,3,0.0,0.0,0.0
MNP,4,0.0,0.0,0.0
MNP,5,0.0,0.0,0.0
MNP,6,0.0,0.0,0.0
MNP,7,0.0,0.0,0.0
MNP,8,0.0,0.0,0.0
MNP,9,0.0,0.0,0.0
MNP,10,0.0,0.0,0.0
MNP,11,0.0,0.0,0.0
MNP,12,0.0,0.0,0.0
MNP,13,0.0,0.0,0.0
MNP,14,0.0,0.0,0.0
MNP,15,0.0,0.0,0.0
MRP,0,0.0,0.0,0.0
MRP,1,0.0,0.0,0.0
MRP,2,0.0,0.0,0.0
MRP,3,0.0,0.0,0.0
MRP,4,0.0,0.0,0.0
MRP,5,0.0,0.0,0.0
MRP,6,0.0,0.0,0.0
MRP,7,0.0,0.0,0.0
MRP,8,0.0,0.0,0.0
MRP,9,0.0,0.0,0.0
MRP,10,0.0,0.0,0.0
MRP,11,0.0,0.0,0.0
MRP,12,0.0,0.0,0.0
MRP,13,0.0,0.0,0.0
MRP,14,0.0,0.0,0.0
MRP,15,0.0,0.0,0.0
