model,scenario,type,purchase,planned,corrective
Multistage (tree),0,0,0.0,60.0,12.0
Multistage (tree),0,1,0.0,100.0,0.0
Multistage (tree),0,2,0.0,245.0,2.0
Multistage (tree),1,0,0.0,45.0,10.0
Multistage (tree),1,1,0.0,110.0,0.0
Multistage (tree),1,2,0.0,245.0,1.0
Multistage (tree),2,0,0.0,75.0,11.0
Multistage (tree),2,1,0.0,80.0,0.0
Multistage (tree),2,2,0.0,225.0,2.0
Multistage (tree),3,0,0.0,105.0,16.0
Multistage (tree),3,1,0.0,70.0,0.0
Multistage (tree),3,2,0.0,225.0,2.0
Multistage (tree),4,0,0.0,100.0,13.0
Multistage (tree),4,1,0.0,80.0,0.0
Multistage (tree),4,2,0.0,225.0,3.0
Multistage (tree),5,0,0.0,100.0,8.0
Multistage (tree),5,1,0.0,85.0,0.0
Multistage (tree),5,2,0.0,225.0,0.0
Multistage (tree),6,0,0.0,140.0,14.0
Multistage (tree),6,1,0.0,65.0,0.0
Multistage (tree),6,2,0.0,210.0,1.0
Multistage (tree),7,0,0.0,100.0,17.0
Multistage (tree),7,1,0.0,80.0,0.0
Multistage (tree),7,2,0.0,215.0,0.0
Multistage (tree),8,0,0.0,80.0,9.0
Multistage (tree),8,1,0.0,60.0,0.0
Multistage (tree),8,2,0.0,135.0,0.0
Multistage (tree),9,0,0.0,80.0,10.0
Multistage (tree),9,1,0.0,60.0,0.0
Multistage (tree),9,2,0.0,135.0,0.0
Multistage (tree),10,0,0.0,75.0,5.0
Multistage (tree),10,1,0.0,65.0,1.0
Multistage (tree),10,2,0.0,155.0,0.0
Multistage (tree),11,0,0.0,60.0,6.0
Multistage (tree),11,1,0.0,70.0,0.0
Multistage (tree),11,2,0.0,155.0,0.0
Multistage (tree),12,0,0.0,60.0,21.0
Multistage (tree),12,1,0.0,65.0,0.0
Multistage (tree),12,2,0.0,165.0,0.0
Multistage (tree),13,0,0.0,80.0,16.0
Multistage (tree),13,1,0.0,60.0,0.0
Multistage (tree),13,2,0.0,165.0,0.0
Multistage (tree),14,0,0.0,75.0,14.0
Multistage (tree),14,1,0.0,70.0,0.0
Multistage (tree),14,2,0.0,170.0,1.0
Multistage (tree),15,0,0.0,65.0,11.0
Multistage (tree),15,1,0.0,75.0,0.0
Multistage (tree),15,2,0.0,170.0,1.0
Static,0,0,-0.0,6.0,0.0
Static,0,1,-0.0,6.0,0.0
Static,0,2,-0.0,16.0,0.0
Static,1,0,-0.0,6.0,0.0
Static,1,1,-0.0,6.0,0.0
Static,1,2,-0.0,16.0,0.0
Static,2,0,-0.0,6.0,0.0
Static,2,1,-0.0,6.0,0.0
Static,2,2,-0.0,16.0,0.0
Static,3,0,-0.0,6.0,0.0
Static,3,1,-0.0,6.0,0.0
Static,3,2,-0.0,16.0,0.0
Static,4,0,-0.0,6.0,0.0
Static,4,1,-0.0,6.0,0.0
Static,4,2,-0.0,16.0,0.0
Static,5,0,-0.0,6.0,0.0
Static,5,1,-0.0,6.0,0.0
Static,5,2,-0.0,16.0,0.0
Static,6,0,-0.0,6.0,0.0
Static,6,1,-0.0,6.0,0.0
Static,6,2,-0.0,16.0,0.0
Static,7,0,-0.0,6.0,0.0
Static,7,1,-0.0,6.0,0.0
Static,7,2,-0.0,16.0,0.0
Static,8,0,-0.0,6.0,0.0
Static,8,1,-0.0,6.0,0.0
Static,8,2,-0.0,16.0,0.0
Static,9,0,-0.0,6.0,0.0
Static,9,1,-0.0,6.0,0.0
Static,9,2,-0.0,16.0,0.0
Static,10,0,-0.0,6.0,0.0
Static,10,1,-0.0,6.0,0.0
Static,10,2,-0.0,16.0,0.0
Static,11,0,-0.0,6.0,0.0
Static,11,1,-0.0,6.0,0.0
Static,11,2,-0.0,16.0,0.0
Static,12,0,-0.0,6.0,0.0
Static,12,1,-0.0,6.0,0.0
Static,12,2,-0.0,16.0,0.0
Static,13,0,-0.0,6.0,0.0
Static,13,1,-0.0,6.0,0.0
Static,13,2,-0.0,16.0,0.0
Static,14,0,-0.0,6.0,0.0
Static,14,1,-0.0,6.0,0.0
Static,14,2,-0.0,16.0,0.0
Static,15,0,-0.0,6.0,0.0
Static,15,1,-0.0,6.0,0.0
Static,15,2,-0.0,16.0,0.0
MNP,0,0,-0.0,20.0,59.0
MNP,0,1,-0.0,95.0,10.0
MNP,0,2,-0.0,170.0,65.0
MNP,1,0,-0.0,20.0,62.0
MNP,1,1,-0.0,95.0,10.0
MNP,1,2,-0.0,170.0,66.0
MNP,2,0,-0.0,20.0,54.0
MNP,2,1,-0.0,95.0,7.0
MNP,2,2,-0.0,170.0,37.0
MNP,3,0,-0.0,20.0,57.0
MNP,3,1,-0.0,95.0,7.0
MNP,3,2,-0.0,170.0,39.0
MNP,4,0,-0.0,20.0,43.0
MNP,4,1,-0.0,95.0,9.0
MNP,4,2,-0.0,170.0,49.0
MNP,5,0,-0.0,20.0,52.0
MNP,5,1,-0.0,95.0,8.0
MNP,5,2,-0.0,170.0,47.0
MNP,6,0,-0.0,20.0,63.0
