model,scenario,type,subcontracted_qty_type,max_period_this_type,subcontracted_qty_all_types_total,peak_week_total_qty,max_period_overall
Multistage (tree),0,0,72.0,17;18,419.0,26.0,17;18;19
Multistage (tree),0,1,100.0,11;12;13;14;15,419.0,26.0,17;18;19
Multistage (tree),0,2,247.0,19,419.0,26.0,17;18;19
Multistage (tree),1,0,55.0,1;2;3;4;5;17;20,411.0,25.0,17;20
Multistage (tree),1,1,110.0,16;17;18;19;20,411.0,25.0,17;20
Multistage (tree),1,2,246.0,16;17;18;19;20,411.0,25.0,17;20
Multistage (tree),2,0,86.0,15,393.0,24.0,15
Multistage (tree),2,1,80.0,6;7;8;9;10,393.0,24.0,15
Multistage (tree),2,2,227.0,11;13,393.0,24.0,15
Multistage (tree),3,0,121.0,16;17;18;20,418.0,24.0,15
Multistage (tree),3,1,70.0,6;7;8;9;10,418.0,24.0,15
Multistage (tree),3,2,227.0,11;13,418.0,24.0,15
Multistage (tree),4,0,113.0,9,421.0,25.0,9
Multistage (tree),4,1,80.0,11;12;13;14;15,421.0,25.0,9
Multistage (tree),4,2,228.0,18;19;20,421.0,25.0,9
Multistage (tree),5,0,108.0,9,418.0,25.0,9
Multistage (tree),5,1,85.0,11;12;13;14;15;16;17;18;19;20,418.0,25.0,9
Multistage (tree),5,2,225.0,16;17;18;19;20,418.0,25.0,9
Multistage (tree),6,0,154.0,9;17;20,430.0,25.0,9
Multistage (tree),6,1,65.0,1;2;3;4;5;11;12;13;14;15,430.0,25.0,9
Multistage (tree),6,2,211.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,430.0,25.0,9
Multistage (tree),7,0,117.0,9,412.0,25.0,9
Multistage (tree),7,1,80.0,16;17;18;19;20,412.0,25.0,9
Multistage (tree),7,2,215.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,412.0,25.0,9
Multistage (tree),8,0,89.0,11;13;14,284.0,20.0,3;5
Multistage (tree),8,1,60.0,1;2;3;4;5;6;7;8;9;10,284.0,20.0,3;5
Multistage (tree),8,2,135.0,1;2;3;4;5,284.0,20.0,3;5
Multistage (tree),9,0,90.0,11;13;14,285.0,20.0,3;5
Multistage (tree),9,1,60.0,1;2;3;4;5;6;7;8;9;10,285.0,20.0,3;5
Multistage (tree),9,2,135.0,1;2;3;4;5,285.0,20.0,3;5
Multistage (tree),10,0,80.0,18,301.0,20.0,3;5
Multistage (tree),10,1,66.0,1;2;3;4;5;6;7;8;9;10,301.0,20.0,3;5
Multistage (tree),10,2,155.0,1;2;3;4;5,301.0,20.0,3;5
Multistage (tree),11,0,66.0,3;5,291.0,20.0,3;5
Multistage (tree),11,1,70.0,1;2;3;4;5;6;7;8;9;10,291.0,20.0,3;5
Multistage (tree),11,2,155.0,1;2;3;4;5,291.0,20.0,3;5
Multistage (tree),12,0,81.0,3;5;7;8;9;10,311.0,20.0,3;5
Multistage (tree),12,1,65.0,1;2;3;4;5;11;12;13;14;15,311.0,20.0,3;5
Multistage (tree),12,2,165.0,1;2;3;4;5,311.0,20.0,3;5
Multistage (tree),13,0,96.0,18;20,321.0,20.0,3;5
Multistage (tree),13,1,60.0,1;2;3;4;5;11;12;13;14;15,321.0,20.0,3;5
Multistage (tree),13,2,165.0,1;2;3;4;5,321.0,20.0,3;5
Multistage (tree),14,0,89.0,3;5;7;8;9;10;19,330.0,20.0,3;5
Multistage (tree),14,1,70.0,1;2;3;4;5;11;12;13;14;15;16;17;18;19;20,330.0,20.0,3;5
Multistage (tree),14,2,171.0,1;2;3;4;5,330.0,20.0,3;5
Multistage (tree),15,0,76.0,3;5;7;8;9;10,322.0,20.0,3;5
Multistage (tree),15,1,75.0,16;17;18;19;20,322.0,20.0,3;5
Multistage (tree),15,2,171.0,1;2;3;4;5,322.0,20.0,3;5
Static,0,0,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,0,1,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,0,2,320.0,constant (n/a),560.0,28.0,constant (n/a)
Static,1,0,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,1,1,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,1,2,320.0,constant (n/a),560.0,28.0,constant (n/a)
Static,2,0,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,2,1,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,2,2,320.0,constant (n/a),560.0,28.0,constant (n/a)
Static,3,0,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,3,1,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,3,2,320.0,constant (n/a),560.0,28.0,constant (n/a)
Static,4,0,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,4,1,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,4,2,320.0,constant (n/a),560.0,28.0,constant (n/a)
Static,5,0,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,5,1,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,5,2,320.0,constant (n/a),560.0,28.0,constant (n/a)
Static,6,0,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,6,1,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,6,2,320.0,constant (n/a),560.0,28.0,constant (n/a)
Static,7,0,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,7,1,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,7,2,320.0,constant (n/a),560.0,28.0,constant (n/a)
Static,8,0,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,8,1,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,8,2,320.0,constant (n/a),560.0,28.0,constant (n/a)
Static,9,0,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,9,1,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,9,2,320.0,constant (n/a),560.0,28.0,constant (n/a)
Static,10,0,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,10,1,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,10,2,320.0,constant (n/a),560.0,28.0,constant (n/a)
Static,11,0,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,11,1,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,11,2,320.0,constant (n/a),560.0,28.0,constant (n/a)
Static,12,0,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,12,1,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,12,2,320.0,constant (n/a),560.0,28.0,constant (n/a)
Static,13,0,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,13,1,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,13,2,320.0,constant (n/a),560.0,28.0,constant (n/a)
Static,14,0,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,14,1,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,14,2,320.0,constant (n/a),560.0,28.0,constant (n/a)
Static,15,0,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,15,1,120.0,constant (n/a),560.0,28.0,constant (n/a)
Static,15,2,320.0,constant (n/a),560.0,28.0,constant (n/a)
MNP,0,0,79.0,16,419.0,26.0,16
MNP,0,1,105.0,14;17;18;20,419.0,26.0,16
MNP,0,2,235.0,18;19;20,419.0,26.0,16
MNP,1,0,82.0,10;19,423.0,26.0,19
MNP,1,1,105.0,14;16;17;20,423.0,26.0,19
MNP,1,2,236.0,16;17;20,423.0,26.0,19
MNP,2,0,74.0,10,383.0,22.0,9;10;14;15
MNP,2,1,102.0,11;13,383.0,22.0,9;10;14;15
MNP,2,2,207.0,6;7;15,383.0,22.0,9;10;14;15
MNP,3,0,77.0,10,388.0,22.0,9;10;14;15
MNP,3,1,102.0,11;13,388.0,22.0,9;10;14;15
MNP,3,2,209.0,6;7;15,388.0,22.0,9;10;14;15
MNP,4,0,63.0,9,386.0,23.0,19
MNP,4,1,104.0,16;20,386.0,23.0,19
MNP,4,2,219.0,6;17;18,386.0,23.0,19
MNP,5,0,72.0,9,392.0,22.0,9;20
MNP,5,1,103.0,18,392.0,22.0,9;20
MNP,5,2,217.0,6,392.0,22.0,9;20
MNP,6,0,83.0,9;14;15,382.0,22.0,9;12;14
MNP,6,1,101.0,11;13;16;17;18;19;20,382.0,22.0,9;12;14
MNP,6,2,198.0,6,382.0,22.0,9;12;14
MNP,7,0,75.0,9;14;15,381.0,22.0,9;12;14
MNP,7,1,101.0,11;13;16;17;18;19;20,381.0,22.0,9;12;14
MNP,7,2,205.0,6,381.0,22.0,9;12;14
MNP,8,0,21.0,3,286.0,19.0,3
MNP,8,1,95.0,16;17;18;19;20,286.0,19.0,3
MNP,8,2,170.0,1;2;3;4;5,286.0,19.0,3
MNP,9,0,21.0,3,286.0,19.0,3
MNP,9,1,95.0,16;17;18;19;20,286.0,19.0,3
MNP,9,2,170.0,1;2;3;4;5,286.0,19.0,3
MNP,10,0,25.0,3,292.0,19.0,3
MNP,10,1,95.0,16;17;18;19;20,292.0,19.0,3
MNP,10,2,172.0,1;2;3;4;5,292.0,19.0,3
MNP,11,0,24.0,3,290.0,19.0,3
MNP,11,1,95.0,16;17;18;19;20,290.0,19.0,3
MNP,11,2,171.0,1;2;3;4;5,290.0,19.0,3
MNP,12,0,27.0,3,292.0,19.0,3
MNP,12,1,95.0,16;17;18;19;20,292.0,19.0,3
MNP,12,2,170.0,1;2;3;4;5,292.0,19.0,3
MNP,13,0,27.0,3,292.0,19.0,3
MNP,13,1,95.0,16;17;18;19;20,292.0,19.0,3
MNP,13,2,170.0,1;2;3;4;5,292.0,19.0,3
MNP,14,0,35.0,3;18,304.0,19.0,3
MNP,14,1,95.0,16;17;18;19;20,304.0,19.0,3
MNP,14,2,174.0,1;2;3;4;5,304.0,19.0,3
MNP,15,0,32.0,3,302.0,19.0,3
MNP,15,1,95.0,16;17;18;19;20,302.0,19.0,3
MNP,15,2,175.0,1;2;3;4;5,302.0,19.0,3
MRP,0,0,85.0,12,423.0,26.0,12
MRP,0,1,101.0,16;17;18;20,423.0,26.0,12
MRP,0,2,237.0,18;19;20,423.0,26.0,12
MRP,1,0,93.0,12,430.0,26.0,12;19
MRP,1,1,100.0,16;17;20,430.0,26.0,12;19
MRP,1,2,237.0,16;17;20,430.0,26.0,12;19
MRP,2,0,74.0,15,383.0,25.0,15
MRP,2,1,98.0,11;13;16;17;18;19;20,383.0,25.0,15
MRP,2,2,211.0,6;7;11;12;13;14,383.0,25.0,15
MRP,3,0,77.0,15,388.0,25.0,15
MRP,3,1,98.0,11;13;16;17;18;19;20,388.0,25.0,15
MRP,3,2,213.0,6;7;11;12;13;14,388.0,25.0,15
MRP,4,0,77.0,9;11,395.0,23.0,19
MRP,4,1,98.0,18;20,395.0,23.0,19
MRP,4,2,220.0,6;17,395.0,23.0,19
MRP,5,0,81.0,9;11,398.0,22.0,9;11;20
MRP,5,1,97.0,18,398.0,22.0,9;11;20
MRP,5,2,220.0,6,398.0,22.0,9;11;20
MRP,6,0,83.0,9;14;15,382.0,22.0,9;12;14
MRP,6,1,97.0,13;16;17;18;19;20,382.0,22.0,9;12;14
MRP,6,2,202.0,6;12,382.0,22.0,9;12;14
MRP,7,0,75.0,9;14;15,381.0,22.0,9;12;14
MRP,7,1,97.0,13;16;17;18;19;20,381.0,22.0,9;12;14
MRP,7,2,209.0,6;12,381.0,22.0,9;12;14
MRP,8,0,31.0,3,291.0,19.0,3
MRP,8,1,90.0,16;17;18;19;20,291.0,19.0,3
MRP,8,2,170.0,1;2;3;4;5,291.0,19.0,3
MRP,9,0,31.0,3,291.0,19.0,3
MRP,9,1,90.0,16;17;18;19;20,291.0,19.0,3
MRP,9,2,170.0,1;2;3;4;5,291.0,19.0,3
MRP,10,0,35.0,3,297.0,19.0,3
MRP,10,1,90.0,16;17;18;19;20,297.0,19.0,3
MRP,10,2,172.0,1;2;3;4;5,297.0,19.0,3
MRP,11,0,34.0,3,295.0,19.0,3
MRP,11,1,90.0,16;17;18;19;20,295.0,19.0,3
MRP,11,2,171.0,1;2;3;4;5,295.0,19.0,3
MRP,12,0,35.0,3,295.0,19.0,3
MRP,12,1,90.0,16;17;18;19;20,295.0,19.0,3
MRP,12,2,170.0,1;2;3;4;5,295.0,19.0,3
MRP,13,0,35.0,3,295.0,19.0,3
MRP,13,1,90.0,16;17;18;19;20,295.0,19.0,3
