scenario,probability,hub,week,demand
0,0.0625,0,0,13765
0,0.0625,0,1,14035
0,0.0625,0,2,13410
0,0.0625,0,3,14131
0,0.0625,0,4,13298
0,0.0625,0,5,13986
0,0.0625,0,6,13313
0,0.0625,0,7,14418
0,0.0625,0,8,14000
0,0.0625,0,9,13056
0,0.0625,0,10,14172
0,0.0625,0,11,14794
0,0.0625,0,12,14903
0,0.0625,0,13,15401
0,0.0625,0,14,13801
0,0.0625,0,15,13790
0,0.0625,0,16,13817
0,0.0625,0,17,15033
0,0.0625,0,18,14804
0,0.0625,0,19,14437
0,0.0625,0,20,15010
0,0.0625,0,21,14297
0,0.0625,0,22,13144
0,0.0625,0,23,13356
0,0.0625,0,24,15112
0,0.0625,0,25,15609
0,0.0625,0,26,15443
0,0.0625,0,27,14132
0,0.0625,0,28,14990
0,0.0625,0,29,13562
0,0.0625,0,30,13986
0,0.0625,0,31,14149
0,0.0625,0,32,13952
0,0.0625,0,33,12993
0,0.0625,0,34,14648
0,0.0625,0,35,13150
0,0.0625,0,36,13062
0,0.0625,0,37,15476
0,0.0625,0,38,14872
0,0.0625,0,39,17428
0,0.0625,0,40,15757
0,0.0625,0,41,17127
0,0.0625,0,42,18342
0,0.0625,0,43,16360
0,0.0625,0,44,15988
0,0.0625,0,45,16454
0,0.0625,0,46,16662
0,0.0625,0,47,17554
0,0.0625,0,48,15647
0,0.0625,0,49,16453
0,0.0625,0,50,16132
0,0.0625,0,51,16265
0,0.0625,1,0,11514
0,0.0625,1,1,12646
0,0.0625,1,2,12910
0,0.0625,1,3,13272
0,0.0625,1,4,13699
0,0.0625,1,5,12776
0,0.0625,1,6,12350
0,0.0625,1,7,12587
0,0.0625,1,8,12331
0,0.0625,1,9,12791
0,0.0625,1,10,12746
0,0.0625,1,11,12116
0,0.0625,1,12,12314
0,0.0625,1,13,11364
0,0.0625,1,14,11755
0,0.0625,1,15,10807
0,0.0625,1,16,11823
0,0.0625,1,17,11852
0,0.0625,1,18,11806
0,0.0625,1,19,11401
0,0.0625,1,20,11158
0,0.0625,1,21,11204
0,0.0625,1,22,12217
0,0.0625,1,23,11983
0,0.0625,1,24,11307
0,0.0625,1,25,11638
0,0.0625,1,26,9277
0,0.0625,1,27,10075
0,0.0625,1,28,9808
0,0.0625,1,29,9943
0,0.0625,1,30,9526
0,0.0625,1,31,9565
0,0.0625,1,32,9746
0,0.0625,1,33,8826
0,0.0625,1,34,9518
0,0.0625,1,35,9767
0,0.0625,1,36,9498
0,0.0625,1,37,9123
0,0.0625,1,38,9254
0,0.0625,1,39,8704
0,0.0625,1,40,8026
0,0.0625,1,41,8067
0,0.0625,1,42,8579
0,0.0625,1,43,8253
0,0.0625,1,44,8765
0,0.0625,1,45,8533
0,0.0625,1,46,8183
0,0.0625,1,47,7689
0,0.0625,1,48,8895
0,0.0625,1,49,8428
0,0.0625,1,50,8660
0,0.0625,1,51,8017
0,0.0625,2,0,33051
0,0.0625,2,1,34231
0,0.0625,2,2,35428
0,0.0625,2,3,35197
0,0.0625,2,4,34361
0,0.0625,2,5,33262
0,0.0625,2,6,33623
0,0.0625,2,7,34440
0,0.0625,2,8,34106
0,0.0625,2,9,33475
0,0.0625,2,10,39830
0,0.0625,2,11,34641
0,0.0625,2,12,35190
