model,scenario,type,purchase,planned,corrective
Multistage (tree),0,0,35.0,0.0,14.0
Multistage (tree),0,1,0.0,0.0,0.0
Multistage (tree),0,2,18.0,0.0,11.0
Multistage (tree),1,0,35.0,0.0,14.0
Multistage (tree),1,1,0.0,0.0,1.0
Multistage (tree),1,2,18.0,0.0,11.0
Multistage (tree),2,0,35.0,0.0,13.0
Multistage (tree),2,1,0.0,0.0,0.0
Multistage (tree),2,2,18.0,0.0,11.0
Multistage (tree),3,0,35.0,0.0,13.0
Multistage (tree),3,1,0.0,0.0,0.0
Multistage (tree),3,2,18.0,0.0,11.0
Multistage (tree),4,0,35.0,0.0,13.0
Multistage (tree),4,1,0.0,0.0,0.0
Multistage (tree),4,2,18.0,0.0,7.0
Multistage (tree),5,0,35.0,0.0,13.0
Multistage (tree),5,1,0.0,0.0,0.0
Multistage (tree),5,2,18.0,0.0,7.0
Multistage (tree),6,0,35.0,0.0,12.0
Multistage (tree),6,1,0.0,0.0,0.0
Multistage (tree),6,2,18.0,0.0,10.0
Multistage (tree),7,0,35.0,0.0,12.0
Multistage (tree),7,1,0.0,0.0,0.0
Multistage (tree),7,2,18.0,0.0,11.0
Multistage (tree),8,0,35.0,0.0,26.0
Multistage (tree),8,1,0.0,0.0,5.0
Multistage (tree),8,2,18.0,65.0,21.0
Multistage (tree),9,0,35.0,0.0,30.0
Multistage (tree),9,1,0.0,0.0,5.0
Multistage (tree),9,2,18.0,65.0,23.0
Multistage (tree),10,0,35.0,0.0,21.0
Multistage (tree),10,1,0.0,0.0,1.0
Multistage (tree),10,2,18.0,0.0,19.0
Multistage (tree),11,0,35.0,0.0,21.0
Multistage (tree),11,1,0.0,0.0,1.0
Multistage (tree),11,2,18.0,0.0,19.0
Multistage (tree),12,0,35.0,0.0,38.0
Multistage (tree),12,1,0.0,0.0,6.0
Multistage (tree),12,2,18.0,39.0,45.0
Multistage (tree),13,0,35.0,13.0,39.0
Multistage (tree),13,1,0.0,0.0,4.0
Multistage (tree),13,2,18.0,39.0,46.0
Multistage (tree),14,0,35.0,13.0,42.0
Multistage (tree),14,1,0.0,0.0,8.0
Multistage (tree),14,2,18.0,65.0,45.0
Multistage (tree),15,0,35.0,0.0,41.0
Multistage (tree),15,1,0.0,0.0,8.0
Multistage (tree),15,2,18.0,78.0,42.0
Static,0,0,35.0,0.0,0.0
Static,0,1,3.0,0.0,0.0
Static,0,2,26.0,0.0,0.0
Static,1,0,35.0,0.0,0.0
Static,1,1,3.0,0.0,0.0
Static,1,2,26.0,0.0,0.0
Static,2,0,35.0,0.0,0.0
Static,2,1,3.0,0.0,0.0
Static,2,2,26.0,0.0,0.0
Static,3,0,35.0,0.0,0.0
Static,3,1,3.0,0.0,0.0
Static,3,2,26.0,0.0,0.0
Static,4,0,35.0,0.0,0.0
Static,4,1,3.0,0.0,0.0
Static,4,2,26.0,0.0,0.0
Static,5,0,35.0,0.0,0.0
Static,5,1,3.0,0.0,0.0
Static,5,2,26.0,0.0,0.0
Static,6,0,35.0,0.0,0.0
Static,6,1,3.0,0.0,0.0
Static,6,2,26.0,0.0,0.0
Static,7,0,35.0,0.0,0.0
Static,7,1,3.0,0.0,0.0
Static,7,2,26.0,0.0,0.0
Static,8,0,35.0,0.0,0.0
Static,8,1,3.0,0.0,0.0
Static,8,2,26.0,0.0,0.0
Static,9,0,35.0,0.0,0.0
Static,9,1,3.0,0.0,0.0
Static,9,2,26.0,0.0,0.0
Static,10,0,35.0,0.0,0.0
Static,10,1,3.0,0.0,0.0
Static,10,2,26.0,0.0,0.0
Static,11,0,35.0,0.0,0.0
Static,11,1,3.0,0.0,0.0
Static,11,2,26.0,0.0,0.0
Static,12,0,35.0,0.0,0.0
Static,12,1,3.0,0.0,0.0
Static,12,2,26.0,0.0,0.0
Static,13,0,35.0,0.0,0.0
Static,13,1,3.0,0.0,0.0
Static,13,2,26.0,0.0,0.0
Static,14,0,35.0,0.0,0.0
Static,14,1,3.0,0.0,0.0
Static,14,2,26.0,0.0,0.0
Static,15,0,35.0,0.0,0.0
Static,15,1,3.0,0.0,0.0
Static,15,2,26.0,0.0,0.0
MNP,0,0,35.0,0.0,57.0
MNP,0,1,-0.0,0.0,0.0
MNP,0,2,18.0,0.0,20.0
MNP,1,0,35.0,0.0,58.0
MNP,1,1,-0.0,0.0,0.0
MNP,1,2,18.0,0.0,25.0
MNP,2,0,35.0,0.0,40.0
MNP,2,1,-0.0,0.0,0.0
MNP,2,2,18.0,0.0,8.0
MNP,3,0,35.0,0.0,40.0
MNP,3,1,-0.0,0.0,0.0
MNP,3,2,18.0,0.0,8.0
MNP,4,0,35.0,0.0,26.0
MNP,4,1,-0.0,0.0,0.0
MNP,4,2,18.0,0.0,10.0
MNP,5,0,35.0,0.0,26.0
MNP,5,1,-0.0,0.0,0.0
MNP,5,2,18.0,0.0,10.0
MNP,6,0,35.0,0.0,40.0
MNP,6,1,-0.0,0.0,0.0
MNP,6,2,18.0,0.0,18.0
MNP,7,0,35.0,0.0,47.0
MNP,7,1,-0.0,0.0,0.0
MNP,7,2,18.0,0.0,16.0
MNP,8,0,35.0,0.0,112.0
MNP,8,1,-0.0,0.0,0.0
MNP,8,2,18.0,0.0,69.0
MNP,9,0,35.0,0.0,101.0
MNP,9,1,-0.0,0.0,0.0
MNP,9,2,18.0,0.0,77.0
MNP,10,0,35.0,0.0,88.0
MNP,10,1,-0.0,0.0,0.0
MNP,10,2,18.0,0.0,27.0
MNP,11,0,35.0,0.0,93.0
MNP,11,1,-0.0,0.0,1.0
MNP,11,2,18.0,0.0,25.0
MNP,12,0,35.0,0.0,129.0
MNP,12,1,-0.0,0.0,0.0
MNP,12,2,18.0,0.0,78.0
MNP,13,0,35.0,0.0,136.0
MNP,13,1,-0.0,0.0,0.0
MNP,13,2,18.0,0.0,78.0
MNP,14,0,35.0,0.0,141.0
MNP,14,1,-0.0,0.0,0.0
MNP,14,2,18.0,0.0,96.0
MNP,15,0,35.0,0.0,140.0
MNP,15,1,-0.0,0.0,0.0
MNP,15,2,18.0,0.0,98.0
MRP,0,0,35.0,0.0,1.0
MRP,0,1,0.0,0.0,0.0
MRP,0,2,19.0,0.0,2.0
MRP,1,0,35.0,0.0,2.0
MRP,1,1,0.0,0.0,0.0
MRP,1,2,19.0,0.0,2.0
MRP,2,0,35.0,0.0,1.0
MRP,2,1,0.0,0.0,0.0
MRP,2,2,19.0,0.0,2.0
MRP,3,0,35.0,0.0,1.0
MRP,3,1,0.0,0.0,0.0
MRP,3,2,19.0,0.0,2.0
MRP,4,0,35.0,0.0,1.0
MRP,4,1,0.0,0.0,0.0
