scenario,probability,hub,week,demand
0,0.0625,0,0,34506
0,0.0625,0,1,32825
0,0.0625,0,2,34400
0,0.0625,0,3,32814
0,0.0625,0,4,35793
0,0.0625,0,5,33120
0,0.0625,0,6,33553
0,0.0625,0,7,34914
0,0.0625,0,8,37959
0,0.0625,0,9,32892
0,0.0625,0,10,34092
0,0.0625,0,11,35403
0,0.0625,0,12,33146
0,0.0625,0,13,34215
0,0.0625,0,14,32080
0,0.0625,0,15,32796
0,0.0625,0,16,33740
0,0.0625,0,17,33999
0,0.0625,0,18,35795
0,0.0625,0,19,34760
0,0.0625,0,20,34475
0,0.0625,0,21,34389
0,0.0625,0,22,32594
0,0.0625,0,23,36686
0,0.0625,0,24,36865
0,0.0625,0,25,32760
0,0.0625,0,26,33559
0,0.0625,0,27,31789
0,0.0625,0,28,36430
0,0.0625,0,29,31721
0,0.0625,0,30,33412
0,0.0625,0,31,34508
0,0.0625,0,32,32201
0,0.0625,0,33,32497
0,0.0625,0,34,33230
0,0.0625,0,35,32588
0,0.0625,0,36,32366
0,0.0625,0,37,35827
0,0.0625,0,38,32437
0,0.0625,0,39,33355
0,0.0625,0,40,34546
0,0.0625,0,41,35698
0,0.0625,0,42,36480
0,0.0625,0,43,38069
0,0.0625,0,44,38511
0,0.0625,0,45,32189
0,0.0625,0,46,35302
0,0.0625,0,47,36575
0,0.0625,0,48,39298
0,0.0625,0,49,35387
0,0.0625,0,50,35933
0,0.0625,0,51,35330
0,0.0625,1,0,17571
0,0.0625,1,1,18911
0,0.0625,1,2,18388
0,0.0625,1,3,18642
0,0.0625,1,4,17179
0,0.0625,1,5,18972
0,0.0625,1,6,17949
0,0.0625,1,7,17792
0,0.0625,1,8,16087
0,0.0625,1,9,18742
0,0.0625,1,10,17464
0,0.0625,1,11,17765
0,0.0625,1,12,18431
0,0.0625,1,13,17695
0,0.0625,1,14,19004
0,0.0625,1,15,19039
0,0.0625,1,16,19252
0,0.0625,1,17,18200
0,0.0625,1,18,16990
0,0.0625,1,19,18069
0,0.0625,1,20,18228
0,0.0625,1,21,19453
0,0.0625,1,22,19437
0,0.0625,1,23,18032
0,0.0625,1,24,16827
0,0.0625,1,25,19048
0,0.0625,1,26,19315
0,0.0625,1,27,20309
0,0.0625,1,28,18844
0,0.0625,1,29,19503
0,0.0625,1,30,19635
0,0.0625,1,31,19100
0,0.0625,1,32,20082
0,0.0625,1,33,19726
0,0.0625,1,34,20303
0,0.0625,1,35,19847
0,0.0625,1,36,18819
0,0.0625,1,37,17307
0,0.0625,1,38,19780
0,0.0625,1,39,17673
0,0.0625,1,40,17597
0,0.0625,1,41,16587
0,0.0625,1,42,15901
0,0.0625,1,43,15063
0,0.0625,1,44,16674
0,0.0625,1,45,17598
0,0.0625,1,46,16050
0,0.0625,1,47,15391
0,0.0625,1,48,15207
0,0.0625,1,49,16873
0,0.0625,1,50,16174
0,0.0625,1,51,17414
0,0.0625,2,0,28347
0,0.0625,2,1,29474
0,0.0625,2,2,29034
0,0.0625,2,3,27011
0,0.0625,2,4,28109
0,0.0625,2,5,28152
0,0.0625,2,6,29126
0,0.0625,2,7,28982
0,0.0625,2,8,27644
0,0.0625,2,9,29973
0,0.0625,2,10,27202
0,0.0625,2,11,29142
0,0.0625,2,12,28537
0,0.0625,2,13,28081
0,0.0625,2,14,30877
0,0.0625,2,15,32238
0,0.0625,2,16,28858
0,0.0625,2,17,29758
0,0.0625,2,18,30929
0,0.0625,2,19,28083
0,0.0625,2,20,30624
0,0.0625,2,21,29909
0,0.0625,2,22,30604
0,0.0625,2,23,30812
0,0.0625,2,24,29303
0,0.0625,2,25,28188
0,0.0625,2,26,27750
0,0.0625,2,27,27615
0,0.0625,2,28,28285
0,0.0625,2,29,29403
0,0.0625,2,30,25329
0,0.0625,2,31,26209
0,0.0625,2,32,27823
0,0.0625,2,33,27400
0,0.0625,2,34,24189
0,0.0625,2,35,28161
0,0.0625,2,36,28205
0,0.0625,2,37,28948
0,0.0625,2,38,26289
0,0.0625,2,39,29076
0,0.0625,2,40,28096
0,0.0625,2,41,27839
0,0.0625,2,42,28138
0,0.0625,2,43,25263
0,0.0625,2,44,28147
0,0.0625,2,45,28318
0,0.0625,2,46,29562
0,0.0625,2,47,29734
0,0.0625,2,48,28245
0,0.0625,2,49,26243
0,0.0625,2,50,31383
0,0.0625,2,51,27144
1,0.0625,0,0,34506
1,0.0625,0,1,32825
1,0.0625,0,2,34400
1,0.0625,0,3,32814
1,0.0625,0,4,35793
1,0.0625,0,5,33120
1,0.0625,0,6,33553
1,0.0625,0,7,34914
1,0.0625,0,8,37959
1,0.0625,0,9,32892
1,0.0625,0,10,34092
1,0.0625,0,11,35403
1,0.0625,0,12,33146
1,0.0625,0,13,34215
1,0.0625,0,14,32080
1,0.0625,0,15,32796
1,0.0625,0,16,33740
1,0.0625,0,17,33999
1,0.0625,0,18,35795
1,0.0625,0,19,34760
1,0.0625,0,20,34475
1,0.0625,0,21,34389
1,0.0625,0,22,32594
1,0.0625,0,23,36686
1,0.0625,0,24,36865
1,0.0625,0,25,32760
1,0.0625,0,26,33559
1,0.0625,0,27,31789
1,0.0625,0,28,36430
1,0.0625,0,29,31721
1,0.0625,0,30,33412
1,0.0625,0,31,34508
1,0.0625,0,32,32201
1,0.0625,0,33,32497
1,0.0625,0,34,33230
1,0.0625,0,35,32588
1,0.0625,0,36,32366
1,0.0625,0,37,35827
1,0.0625,0,38,32437
1,0.0625,0,39,35957
1,0.0625,0,40,32625
1,0.0625,0,41,35030
1,0.0625,0,42,32761
1,0.0625,0,43,31070
1,0.0625,0,44,34368
1,0.0625,0,45,36263
1,0.0625,0,46,36331
1,0.0625,0,47,36754
1,0.0625,0,48,34865
1,0.0625,0,49,38311
1,0.0625,0,50,36200
1,0.0625,0,51,31628
1,0.0625,1,0,17571
1,0.0625,1,1,18911
1,0.0625,1,2,18388
1,0.0625,1,3,18642
1,0.0625,1,4,17179
1,0.0625,1,5,18972
1,0.0625,1,6,17949
1,0.0625,1,7,17792
1,0.0625,1,8,16087
1,0.0625,1,9,18742
1,0.0625,1,10,17464
1,0.0625,1,11,17765
1,0.0625,1,12,18431
1,0.0625,1,13,17695
1,0.0625,1,14,19004
1,0.0625,1,15,19039
1,0.0625,1,16,19252
1,0.0625,1,17,18200
1,0.0625,1,18,16990
1,0.0625,1,19,18069
1,0.0625,1,20,18228
1,0.0625,1,21,19453
1,0.0625,1,22,19437
1,0.0625,1,23,18032
1,0.0625,1,24,16827
1,0.0625,1,25,19048
1,0.0625,1,26,19315
1,0.0625,1,27,20309
1,0.0625,1,28,18844
1,0.0625,1,29,19503
1,0.0625,1,30,19635
1,0.0625,1,31,19100
1,0.0625,1,32,20082
1,0.0625,1,33,19726
1,0.0625,1,34,20303
1,0.0625,1,35,19847
1,0.0625,1,36,18819
1,0.0625,1,37,17307
1,0.0625,1,38,19780
1,0.0625,1,39,16958
1,0.0625,1,40,17581
1,0.0625,1,41,16660
1,0.0625,1,42,17778
1,0.0625,1,43,18553
1,0.0625,1,44,16295
1,0.0625,1,45,17423
1,0.0625,1,46,16137
1,0.0625,1,47,16682
1,0.0625,1,48,16525
1,0.0625,1,49,15261
1,0.0625,1,50,16147
1,0.0625,1,51,17550
1,0.0625,2,0,28347
1,0.0625,2,1,29474
1,0.0625,2,2,29034
1,0.0625,2,3,27011
1,0.0625,2,4,28109
1,0.0625,2,5,28152
1,0.0625,2,6,29126
1,0.0625,2,7,28982
1,0.0625,2,8,27644
1,0.0625,2,9,29973
1,0.0625,2,10,27202
1,0.0625,2,11,29142
1,0.0625,2,12,28537
1,0.0625,2,13,28081
1,0.0625,2,14,30877
1,0.0625,2,15,32238
1,0.0625,2,16,28858
1,0.0625,2,17,29758
1,0.0625,2,18,30929
1,0.0625,2,19,28083
1,0.0625,2,20,30624
1,0.0625,2,21,29909
1,0.0625,2,22,30604
1,0.0625,2,23,30812
