regate,site,dept_code,dept_name,lat,lng,mean_weekly_demand,std_weekly_demand,n_weeks_observed
863030,SAINT SAVIN PDC2,86,Vienne,46.5660516060594,0.8630391366679777,35309.9,17558.5,550
792140,MENIGOUTE NV PDC2,79,Deux-Sèvres,46.49602433098365,-0.0581534559171175,19336.0,6928.1,97
860790,NAINTRE PDC1,86,Vienne,46.76104336533431,0.486023695890953,33196.8,20488.4,529
864520,SAINT SAVIN NV PDC2,86,Vienne,46.56606328311647,0.8630373723525722,37150.7,12305.4,96
160740,MONTEMBOEUF PDC1,16,Charente,45.77693504184668,0.5535800051529098,27013.4,11934.6,529
192970,JUILLAC NV PDC2,19,Corrèze,45.31882217494426,1.3206889722775752,11757.1,4692.9,96
191690,SORNAC PDC2,19,Corrèze,45.666623395923914,2.1939399087006786,12464.4,5190.3,527
791080,MAUZE SUR LE MIGNON PDC2,79,Deux-Sèvres,46.19377125510494,-0.6742213036968309,38329.8,14152.9,529
791110,MENIGOUTE PDC2,79,Deux-Sèvres,46.49602433098365,-0.0581534559171175,22519.0,9212.1,529
792190,MAUZE SUR LE MIGNON NV PDC2,79,Deux-Sèvres,46.19377125510494,-0.6742213036968309,33897.2,11405.2,97
862590,BONNEUIL MATOURS PDC1,86,Vienne,46.68162637547629,0.5721105046415861,23108.9,11891.2,529
191490,JUILLAC PDC2,19,Corrèze,45.31758588193881,1.320228382789706,13893.8,6380.4,427
192980,AYEN NV PDC2,19,Corrèze,45.24600267589095,1.3269230990303202,18044.5,7441.3,96
192950,SORNAC NV PDC2,19,Corrèze,45.666623395923914,2.1939399087006786,12290.0,4033.4,96
230160,AUZANCES PDC1,23,Creuse,46.02674621503201,2.5011946202848927,24793.2,11198.1,529
232220,PONTARION NV PDC2,23,Creuse,45.99736728729324,1.8493022554706475,18477.2,7580.0,96
792150,MONCOUTANT NV PDC2,79,Deux-Sèvres,46.72101677814019,-0.5893368768861069,41863.9,16712.1,97
791170,SAUZE VAUSSAIS PDC2,79,Deux-Sèvres,46.133000829946496,0.1064517878118676,40467.1,16211.5,529
160540,AIGRE PDC1,16,Charente,45.893816079449294,0.0090194749392344,32359.9,15301.0,567
231190,LA COURTINE PDC2,23,Creuse,45.70033626644204,2.261019184609409,11432.5,4716.1,527
