,160540 (AIGRE PDC1),160740 (MONTEMBOEUF PDC1),191490 (JUILLAC PDC2),191690 (SORNAC PDC2),192950 (SORNAC NV PDC2),192970 (JUILLAC NV PDC2),192980 (AYEN NV PDC2),230160 (AUZANCES PDC1),231190 (LA COURTINE PDC2),232220 (PONTARION NV PDC2),791080 (MAUZE SUR LE MIGNON PDC2),791110 (MENIGOUTE PDC2),791170 (SAUZE VAUSSAIS PDC2),792140 (MENIGOUTE NV PDC2),792150 (MONCOUTANT NV PDC2),792190 (MAUZE SUR LE MIGNON NV PDC2),860790 (NAINTRE PDC1),862590 (BONNEUIL MATOURS PDC1),863030 (SAINT SAVIN PDC2),864520 (SAINT SAVIN NV PDC2)
160540 (AIGRE PDC1),1.0,0.8389654103159381,0.7249380325031706,0.8188534628554879,-0.6871322287742067,-0.7491351187590748,-0.7408004399063504,0.8145587406142425,0.7799997609754009,-0.7636692687114247,0.7931188701518953,0.8256088616442319,0.8681530643841716,-0.7341803047223932,-0.727219557636217,-0.7460300595337737,0.7676475340160097,0.8271635642563079,0.8673511551869497,-0.7359787161046174
160740 (MONTEMBOEUF PDC1),0.8389654103159381,1.0,0.7547568551192182,0.8610260929067749,0.4531822784338879,0.1500668385731316,0.23389408371717024,0.8640285009055619,0.8591343314353956,0.26571283460827305,0.8341738807467544,0.8700507511486223,0.890715134483597,0.20351135884002453,0.3369101499758779,0.21480150767086587,0.8635653246685208,0.9073236593355396,0.8902389719436231,0.17187743632808983
191490 (JUILLAC PDC2),0.7249380325031706,0.7547568551192182,1.0,0.7647431119024398,0.344696821909758,0.15613295411580308,0.22349478957267926,0.7514049040486532,0.6627399029097658,0.3368172332148088,0.7224609751366599,0.7704150368746863,0.772130738075598,-0.13964651123535696,0.06545856453865405,-0.193310268427343,0.8515951115390018,0.8195173006151655,0.8170206315255049,0.1862703767966172
191690 (SORNAC PDC2),0.8188534628554879,0.8610260929067749,0.7647431119024398,1.0,0.5141383843830708,0.32485045584919087,0.38899276676508404,0.8460161318393764,0.8745453127297522,0.41028857465573876,0.8345318229041473,0.8573323945405922,0.8532712240407097,-0.01479636885644229,0.06851274568667204,-0.0884404781531486,0.8263280442115062,0.8543113577701521,0.8602032330741585,0.38339812067962165
192950 (SORNAC NV PDC2),-0.6871322287742067,0.4531822784338879,0.344696821909758,0.5141383843830708,1.0,0.7333321946519534,0.7339218231260312,-0.13891370040367265,0.5744727672076527,0.8371767602142597,0.4794481382476115,0.4247187164629932,0.587667090609592,0.7554372245840426,0.8519931386410929,0.8305850436272924,0.5002381669460142,0.534353086720426,-0.7729988801245603,0.7964013453883065
192970 (JUILLAC NV PDC2),-0.7491351187590748,0.1500668385731316,0.15613295411580308,0.32485045584919087,0.7333321946519534,1.0,0.9445461341757464,-0.44722977375494344,0.37251789598374474,0.7856237502872842,0.3164067408624099,0.2866002311687449,0.39969436121811525,0.8226201460946236,0.836766042304604,0.8168084222831478,0.3089241326904711,0.37730859534699196,-0.813776984667742,0.8958193627423541
192980 (AYEN NV PDC2),-0.7408004399063504,0.23389408371717024,0.22349478957267926,0.38899276676508404,0.7339218231260312,0.9445461341757464,1.0,-0.40081466030551494,0.45537070848846334,0.8043186059302468,0.37494118363615553,0.3397029078349495,0.423609744952887,0.8375588410109072,0.8412009743668655,0.8254909928757372,0.3873666626945227,0.46072001617847536,-0.7997962294239167,0.9101566628043715
230160 (AUZANCES PDC1),0.8145587406142425,0.8640285009055619,0.7514049040486532,0.8460161318393764,-0.13891370040367265,-0.44722977375494344,-0.40081466030551494,1.0,0.8708839614951026,-0.3315022622476762,0.8362647531566048,0.8281537396490908,0.8489259107127002,-0.3088976360104259,-0.24927951889121774,-0.16730798786451992,0.800914520343403,0.853515878125398,0.8410682566834788,-0.2725485615411369
231190 (LA COURTINE PDC2),0.7799997609754009,0.8591343314353956,0.6627399029097658,0.8745453127297522,0.5744727672076527,0.37251789598374474,0.45537070848846334,0.8708839614951026,1.0,0.4416823103387764,0.8210847453108353,0.8096382623352665,0.8329325428110879,0.34634265617540866,0.5061924652776696,0.33328342137129036,0.7990923186263579,0.8179212983207503,0.8363083454675999,0.4099357075042007
232220 (PONTARION NV PDC2),-0.7636692687114247,0.26571283460827305,0.3368172332148088,0.41028857465573876,0.8371767602142597,0.7856237502872842,0.8043186059302468,-0.3315022622476762,0.4416823103387764,1.0,0.37033849854344336,0.38303635055358354,0.5169857379608513,0.8356382924393394,0.8674097451938518,0.8675976629916277,0.433985347788564,0.5178356196628309,-0.7706837874688003,0.8390668725762754
791080 (MAUZE SUR LE MIGNON PDC2),0.7931188701518953,0.8341738807467544,0.7224609751366599,0.8345318229041473,0.4794481382476115,0.3164067408624099,0.37494118363615553,0.8362647531566048,0.8210847453108353,0.37033849854344336,1.0,0.85839590168605,0.856618613502258,0.20003263872237473,0.3730144950344472,0.052333840728425576,0.7939035436604525,0.8391929022908562,0.8421246893888341,0.258585512850676
791110 (MENIGOUTE PDC2),0.8256088616442319,0.8700507511486223,0.7704150368746863,0.8573323945405922,0.4247187164629932,0.2866002311687449,0.3397029078349495,0.8281537396490908,0.8096382623352665,0.38303635055358354,0.85839590168605,1.0,0.8915862972972821,0.04241957258616845,0.17824813541060666,-0.1432480199442977,0.8360279593986273,0.8756084654970872,0.8774654221807244,0.2094871174530041
791170 (SAUZE VAUSSAIS PDC2),0.8681530643841716,0.890715134483597,0.772130738075598,0.8532712240407097,0.587667090609592,0.39969436121811525,0.423609744952887,0.8489259107127002,0.8329325428110879,0.5169857379608513,0.856618613502258,0.8915862972972821,1.0,0.1650870728068197,0.29699159907556727,0.03453229824580132,0.8300846439190275,0.8803591549357788,0.8871790080602874,0.429770402833567
