,160290 (CHATEAUNEUF SUR CHARENTE PDC1),170360 (LA ROCHELLE PDC1),179650 (PERIGNY PPDC),230980 (BENEVENT L ABBAYE PDC2),240480 (MONTPON MENESTEROL PDC1),240490 (SOURZAC PDC1),240500 (NONTRON PDC1),241240 (SAINT AULAYE PDC1),249650 (MARSAC SUR L ISLE PPDC),330185 (AYGUEMORTE AGENCE COLIS),330297 (ST MAGNE DE CASTILLON PDC1),331300 (SAINT MARTIN LACAUSSADE PDC1),331330 (PUGNAC PDC1),331450 (COUTRAS PDC1),331810 (SAINT ANDRE DE CUBZAC PDC1),331940 (SAINT MEDARD EN JALLES PPDC),332150 (CESTAS PDC1),335520 (TARGON PDC1),872240 (LIMOGES ACP),872260 (BESSINES SUR GARTEMPE PDC1),872440 (CHATEAUPONSAC PDC2)
160290 (CHATEAUNEUF SUR CHARENTE PDC1),1.0,0.02387327927709468,-0.03673301007388549,0.8527994628307124,0.009468372288564723,-0.46834237810122775,-0.09140676374546397,-0.09230313687993982,-0.4445710873956388,-0.07023600412733552,-0.06168735624944124,0.14296745625820537,0.02693732364749569,-0.03003852315636707,0.028095552428552602,-0.4746388372804259,-0.019295120864162414,0.9540546766646113,-0.05812485158565615,-0.2572758300299055,0.8644194889874124
170360 (LA ROCHELLE PDC1),0.023873279277094723,1.0,-0.6224334602856723,-0.017052890119350135,0.5386089395888884,0.4666158816793697,0.5950149333044058,0.505618337223404,0.2415409555281243,-0.023438375299793986,-0.20166057377615185,0.5073734452634058,0.1420514366731578,0.46100835957656966,0.5531407282483639,0.32982789101996596,0.6544702802837855,0.049370595132104275,-0.047740155854433405,0.5141985184805424,-0.03731284720420546
179650 (PERIGNY PPDC),-0.0367330100738855,-0.6224334602856723,1.0,0.020744911262148707,-0.014122868190686115,-0.03400966010197598,-0.01693357322876694,0.038747685560007815,0.4768037687748046,0.06381778998883836,0.05228674616466737,0.10080823039369363,0.46162037719533644,0.1639584260336905,0.05401322885852599,0.4089137423875253,0.13309240032249456,-0.012954376541052758,-0.08335356150542567,0.010605560595820192,-0.017021351445869796
230980 (BENEVENT L ABBAYE PDC2),0.8527994628307124,-0.017052890119350142,0.02074491126214871,1.0,-0.16463248074756923,-0.5881124509232545,-0.3124330603243983,-0.22039783901840201,-0.4519313250166421,0.0419200571870221,0.001569619815841789,-0.012149177524694257,-0.09665414473248489,-0.14278891894452667,-0.11458192502976915,-0.38847756028983643,-0.0026069433800284684,0.81270127579299,0.016058125342137977,-0.49684207787036555,0.9523325146372235
240480 (MONTPON MENESTEROL PDC1),0.009468372288564755,0.5386089395888884,-0.014122868190686103,-0.1646324807475692,1.0,0.8377210699485753,0.8718289787880369,0.9080384777825392,0.6535626367249077,-0.5025953807917929,-0.37800434585286363,0.9133705702046364,0.7851502380498195,0.8978549684213779,0.8872973635588118,0.6274607794856283,0.6533727604412943,0.1198434423900766,-0.3766107957812768,0.8451485962849564,-0.23256589248990056
240490 (SOURZAC PDC1),-0.46834237810122775,0.4666158816793697,-0.03400966010197598,-0.5881124509232545,0.8377210699485753,1.0,0.826025755687735,0.8126389131497824,0.7670961053459717,-0.41212048865157713,-0.28290997715038424,0.7302053174367716,0.6703751816930544,0.8019074094952513,0.7602394592353974,0.7506615107555917,0.5471292929241226,-0.3648661114995881,-0.27260240960830984,0.8524095528712505,-0.6579695334351845
240500 (NONTRON PDC1),-0.09140676374546397,0.5950149333044058,-0.016933573228766926,-0.3124330603243983,0.8718289787880369,0.8260257556877351,1.0,0.8996220091121345,0.7050992842302498,-0.40657792899889017,-0.430007041998689,0.8993486271004215,0.7836189572956852,0.8946455445598228,0.9163389509953219,0.6707016386198508,0.7010269636834648,-0.008267400527833445,-0.470771691362578,0.8732964395363539,-0.3662490028836912
241240 (SAINT AULAYE PDC1),-0.0923031368799398,0.505618337223404,0.03874768556000782,-0.22039783901840201,0.9080384777825392,0.8126389131497824,0.8996220091121344,1.0,0.6801536209632854,-0.5652030071083737,-0.5336695349353332,0.9194835667080047,0.815927484612972,0.9235889149775084,0.9047929229880982,0.6668362937128539,0.6753280801204794,-0.0050477407033198704,-0.5843406573702128,0.8432352228824854,-0.2665005353925678
249650 (MARSAC SUR L ISLE PPDC),-0.4445710873956388,0.2415409555281243,0.4768037687748046,-0.4519313250166421,0.6535626367249076,0.7670961053459717,0.7050992842302498,0.6801536209632854,1.0,-0.1275834068615067,-0.10031722318741382,0.641533487532817,0.737217200995217,0.7374912598162566,0.6887425993698614,0.9679729719457298,0.6841740135972076,-0.3475221466019294,-0.10628816959461275,0.7381743239770318,-0.5309747725195118
330185 (AYGUEMORTE AGENCE COLIS),-0.07023600412733552,-0.023438375299793944,0.06381778998883836,0.0419200571870221,-0.5025953807917928,-0.41212048865157713,-0.40657792899889017,-0.5652030071083737,-0.12758340686150674,1.0,0.7454305816713661,-0.5435824128635358,-0.5690609898049299,-0.5489031475163385,-0.5209647495696524,-0.02572205047463532,-0.09713155638402855,-0.12107016550261221,0.37198688467949487,-0.3894736296952537,0.08852941908753677
