regate,site,dept_code,dept_name,lat,lng,mean_weekly_demand,std_weekly_demand,cv,n_weeks_observed,n_pairs_in_solid_list
160290,CHATEAUNEUF SUR CHARENTE PDC1,16,Charente,45.59914565834713,-0.0545569959668502,26542.5,17293.2,0.652,69,2
170360,LA ROCHELLE PDC1,17,Charente-Maritime,46.155449189900345,-1.144225304210862,191650.9,169493.7,0.884,430,1
179650,PERIGNY PPDC,17,Charente-Maritime,46.15798409393515,-1.1120586662231584,240378.8,174014.1,0.724,479,1
230980,BENEVENT L ABBAYE PDC2,23,Creuse,46.118922304566865,1.6271870517593323,10500.0,10917.7,1.04,41,1
240480,MONTPON MENESTEROL PDC1,24,Dordogne,45.00966217689838,0.1598766843181407,109551.1,36760.4,0.336,592,1
240490,SOURZAC PDC1,24,Dordogne,45.058154507055114,0.4184978506386436,146705.8,55301.9,0.377,592,1
240500,NONTRON PDC1,24,Dordogne,45.53901478670774,0.6674113764034433,113498.4,40645.3,0.358,592,1
241240,SAINT AULAYE PDC1,24,Dordogne,45.20250330624364,0.1328873568106352,44040.6,15734.1,0.357,592,2
249650,MARSAC SUR L ISLE PPDC,24,Dordogne,45.194810519112615,0.6661481397658916,223523.2,120260.3,0.538,592,1
330185,AYGUEMORTE AGENCE COLIS,33,Gironde,44.7048344420197,-0.4826897671124234,10500.0,4617.7,0.44,40,6
330297,ST MAGNE DE CASTILLON PDC1,33,Gironde,44.85190503756859,-0.0625902784898467,71699.4,42050.1,0.865,53,6
331300,SAINT MARTIN LACAUSSADE PDC1,33,Gironde,45.140568710809234,-0.65190777891277,143226.4,58171.5,0.406,592,2
331330,PUGNAC PDC1,33,Gironde,45.07458331034042,-0.4988251134869074,148912.0,78024.1,0.524,592,2
331450,COUTRAS PDC1,33,Gironde,45.033619824817784,-0.104355474380793,186829.2,78805.1,0.422,592,2
331810,SAINT ANDRE DE CUBZAC PDC1,33,Gironde,44.994204851198624,-0.4407869093753837,157727.2,65906.2,0.418,592,2
331940,SAINT MEDARD EN JALLES PPDC,33,Gironde,44.86399452063796,-0.7087896081596318,195078.2,123423.4,0.633,590,1
332150,CESTAS PDC1,33,Gironde,44.73979999679815,-0.6826501264580278,67701.5,27321.4,0.404,488,1
335520,TARGON PDC1,33,Gironde,44.73500041228138,-0.2650779019132892,23168.2,14157.5,0.611,66,1
872240,LIMOGES ACP,87,Haute-Vienne,45.89212896919711,1.2940424387325078,10500.0,8107.4,0.772,40,1
872260,BESSINES SUR GARTEMPE PDC1,87,Haute-Vienne,46.110704332607256,1.3695660303408883,62012.3,23185.9,0.374,591,2
872440,CHATEAUPONSAC PDC2,87,Haute-Vienne,46.13505528479613,1.2764394210605372,10500.0,8276.9,1.169,48,1
